0Q:acc 0.9297, nmi 0.6241, ari 0.7349, f1 0.9205, pur 0.9297
0Z:acc 0.9736, nmi 0.8143, ari 0.8964, f1 0.9711, pur 0.9736
0P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
1Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
1Z:acc 0.9736, nmi 0.8138, ari 0.8964, f1 0.9710, pur 0.9736
1P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
2Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
2Z:acc 0.9722, nmi 0.8057, ari 0.8908, f1 0.9694, pur 0.9722
2P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
3Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
3Z:acc 0.9722, nmi 0.8057, ari 0.8908, f1 0.9694, pur 0.9722
3P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
4Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
4Z:acc 0.9693, nmi 0.7903, ari 0.8796, f1 0.9661, pur 0.9693
4P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
5Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
5Z:acc 0.9649, nmi 0.7684, ari 0.8630, f1 0.9612, pur 0.9649
5P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
6Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
6Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
6P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
7Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
7Z:acc 0.9619, nmi 0.7558, ari 0.8519, f1 0.9577, pur 0.9619
7P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
8Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
8Z:acc 0.9619, nmi 0.7575, ari 0.8519, f1 0.9577, pur 0.9619
8P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
9Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
9Z:acc 0.9605, nmi 0.7492, ari 0.8464, f1 0.9561, pur 0.9605
9P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
10Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
10Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
10P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
11Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
11Z:acc 0.9649, nmi 0.7684, ari 0.8630, f1 0.9612, pur 0.9649
11P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
12Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
12Z:acc 0.9663, nmi 0.7751, ari 0.8685, f1 0.9629, pur 0.9663
12P:acc 0.9619, nmi 0.7537, ari 0.8520, f1 0.9579, pur 0.9619
13Q:acc 0.9619, nmi 0.7537, ari 0.8520, f1 0.9579, pur 0.9619
13Z:acc 0.9663, nmi 0.7751, ari 0.8685, f1 0.9629, pur 0.9663
13P:acc 0.9649, nmi 0.7678, ari 0.8630, f1 0.9612, pur 0.9649
14Q:acc 0.9619, nmi 0.7537, ari 0.8520, f1 0.9579, pur 0.9619
14Z:acc 0.9663, nmi 0.7751, ari 0.8685, f1 0.9629, pur 0.9663
14P:acc 0.9649, nmi 0.7678, ari 0.8630, f1 0.9612, pur 0.9649
15Q:acc 0.9619, nmi 0.7537, ari 0.8520, f1 0.9579, pur 0.9619
15Z:acc 0.9663, nmi 0.7751, ari 0.8685, f1 0.9629, pur 0.9663
15P:acc 0.9649, nmi 0.7678, ari 0.8630, f1 0.9612, pur 0.9649
16Q:acc 0.9619, nmi 0.7537, ari 0.8520, f1 0.9579, pur 0.9619
16Z:acc 0.9663, nmi 0.7751, ari 0.8685, f1 0.9629, pur 0.9663
16P:acc 0.9649, nmi 0.7678, ari 0.8630, f1 0.9612, pur 0.9649
17Q:acc 0.9619, nmi 0.7537, ari 0.8520, f1 0.9579, pur 0.9619
17Z:acc 0.9693, nmi 0.7901, ari 0.8797, f1 0.9662, pur 0.9693
17P:acc 0.9649, nmi 0.7678, ari 0.8630, f1 0.9612, pur 0.9649
18Q:acc 0.9619, nmi 0.7537, ari 0.8520, f1 0.9579, pur 0.9619
18Z:acc 0.9678, nmi 0.7830, ari 0.8742, f1 0.9647, pur 0.9678
18P:acc 0.9649, nmi 0.7678, ari 0.8630, f1 0.9612, pur 0.9649
19Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
19Z:acc 0.9678, nmi 0.7826, ari 0.8741, f1 0.9646, pur 0.9678
19P:acc 0.9619, nmi 0.7537, ari 0.8520, f1 0.9579, pur 0.9619
20Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
20Z:acc 0.9663, nmi 0.7751, ari 0.8685, f1 0.9629, pur 0.9663
20P:acc 0.9619, nmi 0.7537, ari 0.8520, f1 0.9579, pur 0.9619
21Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
21Z:acc 0.9663, nmi 0.7751, ari 0.8685, f1 0.9629, pur 0.9663
21P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
22Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
22Z:acc 0.9649, nmi 0.7684, ari 0.8630, f1 0.9612, pur 0.9649
22P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
23Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
23Z:acc 0.9649, nmi 0.7684, ari 0.8630, f1 0.9612, pur 0.9649
23P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
24Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
24Z:acc 0.9663, nmi 0.7755, ari 0.8685, f1 0.9628, pur 0.9663
24P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
25Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
25Z:acc 0.9663, nmi 0.7755, ari 0.8685, f1 0.9628, pur 0.9663
25P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
26Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
26Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
